,date,rainfall_min,rainfall_mean,rainfall_max,month,year
137,"{'type': 'Date', 'value': 1338508800000}",200.79630088806152,200.79630088806152,200.79630088806152,6,2012
138,"{'type': 'Date', 'value': 1341100800000}",293.0188670158386,293.0188670158386,293.0188670158386,7,2012
139,"{'type': 'Date', 'value': 1343779200000}",241.0341215133667,241.0341215133667,241.0341215133667,8,2012
140,"{'type': 'Date', 'value': 1346457600000}",113.92596769332886,113.92596769332886,113.92596769332886,9,2012
141,"{'type': 'Date', 'value': 1349049600000}",34.7279167175293,34.7279167175293,34.7279167175293,10,2012
142,"{'type': 'Date', 'value': 1351728000000}",10.41669762134552,10.41669762134552,10.41669762134552,11,2012
143,"{'type': 'Date', 'value': 1354320000000}",5.913155794143677,5.913155794143677,5.913155794143677,12,2012
144,"{'type': 'Date', 'value': 1356998400000}",20.275877952575684,20.275877952575684,20.275877952575684,1,2013
145,"{'type': 'Date', 'value': 1359676800000}",1.4342237710952759,1.4342237710952759,1.4342237710952759,2,2013
146,"{'type': 'Date', 'value': 1362096000000}",3.2754671573638916,3.2754671573638916,3.2754671573638916,3,2013
147,"{'type': 'Date', 'value': 1364774400000}",0.0,0.0,0.0,4,2013
148,"{'type': 'Date', 'value': 1367366400000}",19.86880362033844,19.86880362033844,19.86880362033844,5,2013
149,"{'type': 'Date', 'value': 1370044800000}",130.90860319137573,130.90860319137573,130.90860319137573,6,2013
150,"{'type': 'Date', 'value': 1372636800000}",272.7686171531677,272.7686171531677,272.7686171531677,7,2013
151,"{'type': 'Date', 'value': 1375315200000}",178.44923853874207,178.44923853874207,178.44923853874207,8,2013
152,"{'type': 'Date', 'value': 1377993600000}",251.0962634086609,251.0962634086609,251.0962634086609,9,2013
153,"{'type': 'Date', 'value': 1380585600000}",57.144776344299316,57.144776344299316,57.144776344299316,10,2013
154,"{'type': 'Date', 'value': 1383264000000}",22.576496362686157,22.576496362686157,22.576496362686157,11,2013
155,"{'type': 'Date', 'value': 1385856000000}",27.02873396873474,27.02873396873474,27.02873396873474,12,2013
156,"{'type': 'Date', 'value': 1388534400000}",8.468485116958618,8.468485116958618,8.468485116958618,1,2014
157,"{'type': 'Date', 'value': 1391212800000}",1.6259143352508545,1.6259143352508545,1.6259143352508545,2,2014
158,"{'type': 'Date', 'value': 1393632000000}",0.0,0.0,0.0,3,2014
159,"{'type': 'Date', 'value': 1396310400000}",1.9215856790542603,1.9215856790542603,1.9215856790542603,4,2014
160,"{'type': 'Date', 'value': 1398902400000}",41.040343284606934,41.040343284606934,41.040343284606934,5,2014
161,"{'type': 'Date', 'value': 1401580800000}",209.08221626281738,209.08221626281738,209.08221626281738,6,2014
162,"{'type': 'Date', 'value': 1404172800000}",186.32905793190002,186.32905793190002,186.32905793190002,7,2014
163,"{'type': 'Date', 'value': 1406851200000}",223.6159212589264,223.6159212589264,223.6159212589264,8,2014
164,"{'type': 'Date', 'value': 1409529600000}",179.26361083984375,179.26361083984375,179.26361083984375,9,2014
165,"{'type': 'Date', 'value': 1412121600000}",65.06821584701538,65.06821584701538,65.06821584701538,10,2014
166,"{'type': 'Date', 'value': 1414800000000}",27.599890112876892,27.599890112876892,27.599890112876892,11,2014
167,"{'type': 'Date', 'value': 1417392000000}",5.660585403442383,5.660585403442383,5.660585403442383,12,2014
168,"{'type': 'Date', 'value': 1420070400000}",7.805470943450928,7.805470943450928,7.805470943450928,1,2015
169,"{'type': 'Date', 'value': 1422748800000}",9.520171105861664,9.520171105861664,9.520171105861664,2,2015
170,"{'type': 'Date', 'value': 1425168000000}",15.956553041934967,15.956553041934967,15.956553041934967,3,2015
171,"{'type': 'Date', 'value': 1427846400000}",2.6044827699661255,2.6044827699661255,2.6044827699661255,4,2015
172,"{'type': 'Date', 'value': 1430438400000}",30.419647216796875,30.419647216796875,30.419647216796875,5,2015
173,"{'type': 'Date', 'value': 1433116800000}",224.16873717308044,224.16873717308044,224.16873717308044,6,2015
174,"{'type': 'Date', 'value': 1435708800000}",234.89023113250732,234.89023113250732,234.89023113250732,7,2015
175,"{'type': 'Date', 'value': 1438387200000}",183.55890893936157,183.55890893936157,183.55890893936157,8,2015
176,"{'type': 'Date', 'value': 1441065600000}",134.5536289215088,134.5536289215088,134.5536289215088,9,2015
177,"{'type': 'Date', 'value': 1443657600000}",110.94649457931519,110.94649457931519,110.94649457931519,10,2015
178,"{'type': 'Date', 'value': 1446336000000}",11.32195234298706,11.32195234298706,11.32195234298706,11,2015
179,"{'type': 'Date', 'value': 1448928000000}",16.48251247406006,16.48251247406006,16.48251247406006,12,2015
180,"{'type': 'Date', 'value': 1451606400000}",6.528512597084045,6.528512597084045,6.528512597084045,1,2016
181,"{'type': 'Date', 'value': 1454284800000}",3.475186586380005,3.475186586380005,3.475186586380005,2,2016
182,"{'type': 'Date', 'value': 1456790400000}",6.066054940223694,6.066054940223694,6.066054940223694,3,2016
183,"{'type': 'Date', 'value': 1459468800000}",1.4428876042366028,1.4428876042366028,1.4428876042366028,4,2016
184,"{'type': 'Date', 'value': 1462060800000}",7.799189984798431,7.799189984798431,7.799189984798431,5,2016
185,"{'type': 'Date', 'value': 1464739200000}",248.0177698135376,248.0177698135376,248.0177698135376,6,2016
186,"{'type': 'Date', 'value': 1467331200000}",312.00978231430054,312.00978231430054,312.00978231430054,7,2016
187,"{'type': 'Date', 'value': 1470009600000}",190.01436805725098,190.01436805725098,190.01436805725098,8,2016
188,"{'type': 'Date', 'value': 1472688000000}",178.0210475921631,178.0210475921631,178.0210475921631,9,2016
189,"{'type': 'Date', 'value': 1475280000000}",38.442423820495605,38.442423820495605,38.442423820495605,10,2016
190,"{'type': 'Date', 'value': 1477958400000}",43.09458374977112,43.09458374977112,43.09458374977112,11,2016
191,"{'type': 'Date', 'value': 1480550400000}",4.78765344619751,4.78765344619751,4.78765344619751,12,2016
192,"{'type': 'Date', 'value': 1483228800000}",0.0,0.0,0.0,1,2017
193,"{'type': 'Date', 'value': 1485907200000}",0.0,0.0,0.0,2,2017
194,"{'type': 'Date', 'value': 1488326400000}",3.448204517364502,3.448204517364502,3.448204517364502,3,2017
195,"{'type': 'Date', 'value': 1491004800000}",1.0737344026565552,1.0737344026565552,1.0737344026565552,4,2017
196,"{'type': 'Date', 'value': 1493596800000}",5.812614440917969,5.812614440917969,5.812614440917969,5,2017
197,"{'type': 'Date', 'value': 1496275200000}",115.83764505386353,115.83764505386353,115.83764505386353,6,2017
198,"{'type': 'Date', 'value': 1498867200000}",303.0090093612671,303.0090093612671,303.0090093612671,7,2017
199,"{'type': 'Date', 'value': 1501545600000}",242.38139247894287,242.38139247894287,242.38139247894287,8,2017
200,"{'type': 'Date', 'value': 1504224000000}",190.3591046333313,190.3591046333313,190.3591046333313,9,2017
201,"{'type': 'Date', 'value': 1506816000000}",52.88974571228027,52.88974571228027,52.88974571228027,10,2017
