,date,LST_min,LST_mean,LST_max,month,year
116,"{'type': 'Date', 'value': 1285891200000}",34.497142857142876,34.497142857142876,34.497142857142876,10,2010
117,"{'type': 'Date', 'value': 1288569600000}",31.209230769230803,31.209230769230803,31.209230769230803,11,2010
118,"{'type': 'Date', 'value': 1291161600000}",28.150000000000027,28.150000000000027,28.150000000000027,12,2010
119,"{'type': 'Date', 'value': 1293840000000}",28.79190476190479,28.79190476190479,28.79190476190479,1,2011
120,"{'type': 'Date', 'value': 1296518400000}",32.80440000000003,32.80440000000003,32.80440000000003,2,2011
121,"{'type': 'Date', 'value': 1298937600000}",38.6566666666667,38.6566666666667,38.6566666666667,3,2011
122,"{'type': 'Date', 'value': 1301616000000}",42.279285714285734,42.279285714285734,42.279285714285734,4,2011
123,"{'type': 'Date', 'value': 1304208000000}",44.178148148148175,44.178148148148175,44.178148148148175,5,2011
124,"{'type': 'Date', 'value': 1306886400000}",39.53400000000003,39.53400000000003,39.53400000000003,6,2011
125,"{'type': 'Date', 'value': 1309478400000}",34.072857142857174,34.072857142857174,34.072857142857174,7,2011
126,"{'type': 'Date', 'value': 1312156800000}",34.98000000000002,34.98000000000002,34.98000000000002,8,2011
127,"{'type': 'Date', 'value': 1314835200000}",34.9646666666667,34.9646666666667,34.9646666666667,9,2011
128,"{'type': 'Date', 'value': 1317427200000}",32.98333333333336,32.98333333333336,32.98333333333336,10,2011
129,"{'type': 'Date', 'value': 1320105600000}",30.6941666666667,30.6941666666667,30.6941666666667,11,2011
130,"{'type': 'Date', 'value': 1322697600000}",28.939230769230797,28.939230769230797,28.939230769230797,12,2011
131,"{'type': 'Date', 'value': 1325376000000}",28.48473684210529,28.48473684210529,28.48473684210529,1,2012
132,"{'type': 'Date', 'value': 1328054400000}",28.845000000000027,28.845000000000027,28.845000000000027,2,2012
133,"{'type': 'Date', 'value': 1330560000000}",36.86130434782612,36.86130434782612,36.86130434782612,3,2012
134,"{'type': 'Date', 'value': 1333238400000}",42.216400000000014,42.216400000000014,42.216400000000014,4,2012
135,"{'type': 'Date', 'value': 1335830400000}",43.07086956521742,43.07086956521742,43.07086956521742,5,2012
136,"{'type': 'Date', 'value': 1338508800000}",39.752666666666684,39.752666666666684,39.752666666666684,6,2012
137,"{'type': 'Date', 'value': 1341100800000}",33.09666666666669,33.09666666666669,33.09666666666669,7,2012
138,"{'type': 'Date', 'value': 1343779200000}",35.29666666666669,35.29666666666669,35.29666666666669,8,2012
139,"{'type': 'Date', 'value': 1346457600000}",34.38333333333336,34.38333333333336,34.38333333333336,9,2012
